# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.029618          	2.1305813855e+05
0.0296418         	2.1309055524e+05
0.0296657         	2.1312074989e+05
0.0296896         	2.1314743302e+05
0.0297135         	2.1317115800e+05
0.0297395         	2.1318900380e+05
0.0297632         	2.1320546726e+05
0.0297869         	2.1321696946e+05
0.0298106         	2.1322609976e+05
0.0298342         	2.1323262085e+05
0.0298579         	2.1323560855e+05
0.0298816         	2.1323517065e+05
0.0299053         	2.1323184964e+05
0.029929          	2.1322497340e+05
0.0299526         	2.1321543545e+05
0.0299763         	2.1320219650e+05
0.03              	2.1318548435e+05
0.030024          	2.1316531446e+05
0.0300483         	2.1314153014e+05
0.0300728         	2.1311361222e+05
0.0300973         	2.1308236639e+05
0.0301216         	2.1304992484e+05
0.0301456         	2.1301461376e+05
0.0301697         	2.1297685391e+05
0.0301937         	2.1293767453e+05
0.030218          	2.1289458846e+05
0.0302425         	2.1284673656e+05
0.0302668         	2.1279643227e+05
0.0302908         	2.1274376520e+05
0.0303148         	2.1268830441e+05
0.0303391         	2.1262956763e+05
0.0303634         	2.1256822604e+05
0.0303879         	2.1250476472e+05
0.0304125         	2.1243892303e+05
0.030437          	2.1237045323e+05
0.0304613         	2.1229994952e+05
0.0304856         	2.1222616128e+05
0.0305096         	2.1215055168e+05
0.0305335         	2.1207296855e+05
0.0305575         	2.1199330284e+05
0.0305815         	2.1191113796e+05
0.0306058         	2.1182477298e+05
0.0306304         	2.1173437407e+05
0.030655          	2.1164326370e+05
0.0306793         	2.1155377213e+05
0.0307032         	2.1146481561e+05
0.0307275         	2.1137117178e+05
0.0307521         	2.1127332584e+05
0.0307767         	2.1117305319e+05
0.030801          	2.1107224376e+05
0.0308253         	2.1096927352e+05
0.0308496         	2.1086365834e+05
0.0308735         	2.1075728847e+05
0.0308974         	2.1064898718e+05
0.0309213         	2.1053932113e+05
0.0309452         	2.1042777926e+05
0.0309695         	2.1031113726e+05
0.0309934         	2.1019595740e+05
0.0310177         	2.1007773927e+05
0.031042          	2.0995817815e+05
0.0310663         	2.0983834831e+05
0.0310906         	2.0971747508e+05
0.0311149         	2.0959472746e+05
0.0311392         	2.0947151884e+05
0.0311635         	2.0934678888e+05
0.0311878         	2.0922089195e+05
0.0312121         	2.0909437299e+05
0.0312364         	2.0896664441e+05
0.0312612         	2.0883480642e+05
0.031286          	2.0870114795e+05
0.0313103         	2.0856942539e+05
0.0313345         	2.0843591109e+05
0.0313583         	2.0830442116e+05
0.0313821         	2.0817185202e+05
0.0314059         	2.0804001610e+05
0.0314302         	2.0790355416e+05
0.0314545         	2.0776615362e+05
0.0314783         	2.0763184405e+05
0.031502          	2.0749723759e+05
0.0315258         	2.0736191116e+05
0.0315496         	2.0722607710e+05
0.0315733         	2.0708999169e+05
0.0315971         	2.0695358645e+05
0.0316209         	2.0681694051e+05
0.0316453         	2.0667382456e+05
0.031669          	2.0653465723e+05
0.0316928         	2.0639436212e+05
0.0317158         	2.0625919698e+05
0.0317389         	2.0612450233e+05
0.0317619         	2.0599093075e+05
0.031785          	2.0585780780e+05
0.0318081         	2.0572482761e+05
0.0318319         	2.0558551109e+05
0.031855          	2.0545160323e+05
0.0318789         	2.0530985706e+05
0.0319019         	2.0517453488e+05
0.0319258         	2.0503268336e+05
0.0319497         	2.0489099043e+05
0.0319736         	2.0474852855e+05
0.0319976         	2.0460662199e+05
0.0320204         	2.0447437254e+05
0.0320444         	2.0433330892e+05
0.0320672         	2.0419988862e+05
0.0320899         	2.0406663623e+05
0.0321127         	2.0393435689e+05
0.0321355         	2.0380182118e+05
0.0321583         	2.0366829769e+05
0.0321811         	2.0353438719e+05
0.0322039         	2.0340101419e+05
0.0322266         	2.0326809209e+05
0.0322494         	2.0313625216e+05
0.0322722         	2.0300535459e+05
0.032295          	2.0287562052e+05
0.0323178         	2.0274686649e+05
0.0323405         	2.0261803074e+05
0.0323633         	2.0248963778e+05
0.0323861         	2.0236095485e+05
0.0324089         	2.0223239211e+05
0.0324317         	2.0210403593e+05
0.0324544         	2.0197653447e+05
0.0324772         	2.0185010345e+05
0.0325            	2.0172418866e+05
0.0325225         	2.0160045410e+05
0.032545          	2.0147741139e+05
0.0325676         	2.0135548301e+05
0.0325901         	2.0123378119e+05
0.0326126         	2.0111213048e+05
0.0326351         	2.0099083978e+05
0.0326574         	2.0087088476e+05
0.03268           	2.0074922354e+05
0.0327025         	2.0062794943e+05
0.0327248         	2.0050885676e+05
0.0327471         	2.0039025100e+05
0.0327694         	2.0027231918e+05
0.0327917         	2.0015506712e+05
0.032814          	2.0003739098e+05
0.0328361         	1.9992180039e+05
0.0328577         	1.9980964468e+05
0.0328794         	1.9969868889e+05
0.032901          	1.9958839820e+05
0.0329227         	1.9947764520e+05
0.0329443         	1.9936682101e+05
0.0329659         	1.9925701615e+05
0.0329873         	1.9914992186e+05
0.033009          	1.9904271047e+05
0.0330306         	1.9893664015e+05
0.0330525         	1.9882902468e+05
0.0330742         	1.9872303454e+05
0.033096          	1.9861527816e+05
0.0331177         	1.9850981797e+05
0.0331393         	1.9840513085e+05
0.0331607         	1.9830292412e+05
0.0331823         	1.9819961917e+05
0.033204          	1.9809585368e+05
0.0332254         	1.9799468406e+05
0.0332465         	1.9789622140e+05
0.0332676         	1.9779930933e+05
0.0332887         	1.9770399473e+05
0.0333099         	1.9760900438e+05
0.033331          	1.9751434273e+05
0.0333521         	1.9742091393e+05
0.0333735         	1.9732657454e+05
0.0333949         	1.9723212724e+05
0.0334163         	1.9713719160e+05
0.0334377         	1.9704155210e+05
0.0334588         	1.9694758844e+05
0.0334799         	1.9685380461e+05
0.0335008         	1.9676195333e+05
0.0335216         	1.9667138860e+05
0.0335427         	1.9658021976e+05
0.0335641         	1.9648830563e+05
0.0335856         	1.9639664529e+05
0.0336067         	1.9630740112e+05
0.0336278         	1.9621895199e+05
0.0336489         	1.9613120538e+05
0.03367           	1.9604341255e+05
0.0336911         	1.9595666776e+05
0.0337122         	1.9587055896e+05
0.0337333         	1.9578559826e+05
0.0337545         	1.9570210201e+05
0.0337756         	1.9561902491e+05
0.0337967         	1.9553665878e+05
0.0338178         	1.9545465295e+05
0.0338389         	1.9537290705e+05
0.03386           	1.9529150123e+05
0.0338811         	1.9521044742e+05
0.0339022         	1.9512884510e+05
0.0339229         	1.9505021090e+05
0.0339441         	1.9496992753e+05
0.0339652         	1.9489035315e+05
0.0339863         	1.9481101710e+05
0.0340074         	1.9473150463e+05
0.0340285         	1.9465173627e+05
0.0340497         	1.9457165823e+05
0.0340708         	1.9449239708e+05
0.0340914         	1.9441578757e+05
0.0341121         	1.9433871023e+05
0.0341327         	1.9426189448e+05
0.0341534         	1.9418524952e+05
0.034174          	1.9410902957e+05
0.0341947         	1.9403260854e+05
0.0342153         	1.9395599147e+05
0.034236          	1.9387896933e+05
0.0342566         	1.9380224075e+05
0.0342773         	1.9372583965e+05
0.0342979         	1.9364990713e+05
0.0343186         	1.9357455496e+05
0.0343392         	1.9349986558e+05
0.0343599         	1.9342513557e+05
0.0343805         	1.9335036416e+05
0.0344012         	1.9327546473e+05
0.0344218         	1.9319991223e+05
0.0344425         	1.9312434840e+05
0.0344631         	1.9304840882e+05
0.0344838         	1.9297242810e+05
0.0345044         	1.9289647034e+05
0.0345251         	1.9282030610e+05
0.0345457         	1.9274380670e+05
0.0345664         	1.9266698748e+05
0.034587          	1.9259066393e+05
0.0346077         	1.9251435259e+05
0.0346283         	1.9243730734e+05
0.034649          	1.9235956741e+05
0.0346696         	1.9228044334e+05
0.0346903         	1.9220147053e+05
0.0347109         	1.9212184285e+05
0.0347316         	1.9204277136e+05
0.0347522         	1.9196301246e+05
0.0347729         	1.9188258294e+05
0.0347935         	1.9180129882e+05
0.0348142         	1.9171886462e+05
0.0348348         	1.9163576842e+05
0.0348555         	1.9155221996e+05
