# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.00833354        	1.0482819031e+05
0.0083723         	1.0490744491e+05
0.00841015        	1.0498585244e+05
0.008448          	1.0506524831e+05
0.00848586        	1.0514562952e+05
0.00852371        	1.0522700691e+05
0.00856156        	1.0530939070e+05
0.00859942        	1.0539280704e+05
0.00863727        	1.0547726292e+05
0.00867513        	1.0556276378e+05
0.00871298        	1.0564931866e+05
0.00875083        	1.0573693162e+05
0.00878869        	1.0582560435e+05
0.00882654        	1.0591537631e+05
0.00886439        	1.0600623549e+05
0.00890225        	1.0609822436e+05
0.0089401         	1.0619133200e+05
0.00897795        	1.0628559636e+05
0.00901581        	1.0638101839e+05
0.00905366        	1.0647762081e+05
0.00909006        	1.0657162908e+05
0.00912646        	1.0666677497e+05
0.00916285        	1.0676305083e+05
0.00919925        	1.0686045449e+05
0.00923565        	1.0695903452e+05
0.00927205        	1.0705878560e+05
0.00930844        	1.0715970971e+05
0.00934484        	1.0726184532e+05
0.00937932        	1.0735972164e+05
0.00941381        	1.0745871444e+05
0.00944829        	1.0755883733e+05
0.00948277        	1.0766011175e+05
0.00951725        	1.0776257612e+05
0.00955173        	1.0786626039e+05
0.00958622        	1.0797113758e+05
0.0096207         	1.0807720049e+05
0.00965518        	1.0818450875e+05
0.00968966        	1.0829308943e+05
0.00972414        	1.0840293932e+05
0.00975863        	1.0851404670e+05
0.00979311        	1.0862642957e+05
0.00982759        	1.0874012301e+05
0.00986207        	1.0885513139e+05
0.00989655        	1.0897143759e+05
0.00993104        	1.0908904950e+05
0.00996552        	1.0920800272e+05
0.01              	1.0932830584e+05
0.0100329         	1.0944429273e+05
0.0100658         	1.0956152270e+05
0.0100982         	1.0967839639e+05
0.0101307         	1.0979648097e+05
0.0101632         	1.0991583445e+05
0.0101956         	1.1003641104e+05
0.0102281         	1.1015821506e+05
0.0102601         	1.1027950203e+05
0.0102921         	1.1040200280e+05
0.0103241         	1.1052573160e+05
0.0103561         	1.1065069116e+05
0.0103881         	1.1077689509e+05
0.0104196         	1.1090239983e+05
0.0104511         	1.1102909658e+05
0.0104826         	1.1115699186e+05
0.0105142         	1.1128613001e+05
0.0105457         	1.1141650236e+05
0.0105772         	1.1154811660e+05
0.0106082         	1.1167877177e+05
0.0106392         	1.1181060046e+05
0.0106702         	1.1194359422e+05
0.0107012         	1.1207775913e+05
0.0107323         	1.1221309109e+05
0.0107633         	1.1234958192e+05
0.0107943         	1.1248725351e+05
0.0108247         	1.1262365389e+05
0.0108552         	1.1276121275e+05
0.0108857         	1.1289996704e+05
0.0109161         	1.1303985205e+05
0.0109466         	1.1318091158e+05
0.010977          	1.1332313514e+05
0.0110075         	1.1346653703e+05
0.011038          	1.1361114291e+05
0.0110684         	1.1375691054e+05
0.0110989         	1.1390384911e+05
0.0111293         	1.1405194853e+05
0.0111598         	1.1420121115e+05
0.0111903         	1.1435159595e+05
0.0112207         	1.1450308410e+05
0.0112512         	1.1465563980e+05
0.0112816         	1.1480930577e+05
0.0113121         	1.1496410751e+05
0.0113426         	1.1512000948e+05
0.011373          	1.1527698650e+05
0.0114027         	1.1543092068e+05
0.0114323         	1.1558587451e+05
0.011462          	1.1574188094e+05
0.0114916         	1.1589892269e+05
0.0115213         	1.1605698010e+05
0.011551          	1.1621603300e+05
0.0115806         	1.1637614698e+05
0.0116103         	1.1653729451e+05
0.0116399         	1.1669945810e+05
0.0116696         	1.1686260335e+05
0.0116992         	1.1702677333e+05
0.0117289         	1.1719195253e+05
0.0117586         	1.1735816343e+05
0.0117882         	1.1752536443e+05
0.0118179         	1.1769356132e+05
0.0118475         	1.1786275918e+05
0.0118772         	1.1803293798e+05
0.0119068         	1.1820409961e+05
0.0119365         	1.1837624272e+05
0.0119662         	1.1854935289e+05
0.0119958         	1.1872338333e+05
0.0120255         	1.1889840906e+05
0.0120551         	1.1907436113e+05
0.0120848         	1.1925124978e+05
0.0121145         	1.1942907419e+05
0.0121441         	1.1960784446e+05
0.0121738         	1.1978746935e+05
0.0122034         	1.1996803477e+05
0.0122331         	1.2014949152e+05
0.0122627         	1.2033184554e+05
0.0122924         	1.2051506287e+05
0.0123221         	1.2069915278e+05
0.0123517         	1.2088413191e+05
0.0123814         	1.2107002756e+05
0.012411          	1.2125685316e+05
0.0124407         	1.2144458643e+05
0.0124703         	1.2163318673e+05
0.0125            	1.2182261129e+05
0.0125309         	1.2202064399e+05
0.0125617         	1.2221962037e+05
0.0125926         	1.2241959634e+05
0.0126235         	1.2262055957e+05
